input_id,titulo_input,autores_input,source,source_id,titulo_candidato,autores_candidato,editorial_candidata,idioma_candidato,isbn_13,isbn_10,title_score,authors_score,language_score,publisher_score,score
49,Communicating Sequential Processes,C.A.R. Hoare,openlibrary,/works/OL25485111W,Communicating Sequential Processes,C.A.R. Hoare,Independently Published,ingles,9798720425739,,1.0000,1.0000,1.0000,0.3333,0.9333
49,Communicating Sequential Processes,C.A.R. Hoare,google_books,wjtzzgEACAAJ,Communicating Sequential Processes,C.A.R. Hoare,desconocido,ingles,9798720425739,,1.0000,1.0000,1.0000,0.5000,0.9500
50,The Reasoned Schemer,Daniel P. Friedman; William E. Byrd; Oleg Kiselyov,openlibrary,/works/OL2938929W,The reasoned schemer,Daniel P. Friedman,MIT Press,ingles,9780262562140,0262562146,1.0000,1.0000,1.0000,1.0000,1.0000
50,The Reasoned Schemer,Daniel P. Friedman; William E. Byrd; Oleg Kiselyov,openlibrary,/works/OL19739995W,The Reasoned Schemer,Daniel P. Friedman; William E. Byrd; Oleg Kiselyov,The MIT Press,ingles,9780262294287,0262348772,1.0000,1.0000,1.0000,1.0000,1.0000
50,The Reasoned Schemer,Daniel P. Friedman; William E. Byrd; Oleg Kiselyov,google_books,ur34DwAAQBAJ,"The Reasoned Schemer, second edition",Daniel P. Friedman; William E. Byrd; Oleg Kiselyov; Jason Hemann,MIT Press,ingles,9780262535519,0262535513,1.0000,1.0000,1.0000,1.0000,1.0000
50,The Reasoned Schemer,Daniel P. Friedman; William E. Byrd; Oleg Kiselyov,google_books,HulPDwAAQBAJ,"The Reasoned Schemer, second edition",Daniel P. Friedman; William E. Byrd; Oleg Kiselyov; Jason Hemann,MIT Press,ingles,9780262348782,0262348780,1.0000,1.0000,1.0000,1.0000,1.0000
52,Programming in Haskell,Graham Hutton,openlibrary,/works/OL1223918W,Programming in Haskell,Graham Hutton,Cambridge University Press,ingles,9780521692694,051129218X,1.0000,1.0000,1.0000,1.0000,1.0000
52,Programming in Haskell,Graham Hutton,openlibrary,/works/OL25675439W,Programming in Haskell,Graham Hutton,Cambridge University Press,ingles,9781316784099,1316784096,1.0000,1.0000,1.0000,1.0000,1.0000
52,Programming in Haskell,Graham Hutton,openlibrary,/works/OL20046601W,Programming in Haskell,Graham Hutton,Cambridge University Press,ingles,9781316626221,1316626229,1.0000,1.0000,1.0000,1.0000,1.0000
52,Programming in Haskell,Graham Hutton,openlibrary,/works/OL39636884W,Programming in Haskel,Graham Hutton,Cambridge University Press,ingles,9781280959325,1280959320,0.9767,1.0000,1.0000,1.0000,0.9872
53,Functional Programming in Scala,Paul Chiusano; Runar Bjarnason,openlibrary,/works/OL17582815W,Functional Programming In Scala,Paul Chiusano,Manning Publications,ingles,9781617290657,1617290653,1.0000,1.0000,1.0000,1.0000,1.0000
